"did","card_id","d_day","d_status","f_day"
92,"411081194608124356","2020-01-25",1,"2020-01-25"
93,"540323198210070043","2020-01-25",1,"2020-01-25"
94,"654201198904193254","2020-01-25",1,"2020-01-25"
95,"230129201604271998","2020-01-25",1,"2020-01-25"
96,"430726199406131039","2020-01-25",1,"2020-01-25"
97,"610429193209173167","2020-01-25",1,"2020-01-25"
98,"320921194507150627","2020-01-25",1,"2020-01-25"
99,"350403193909073055","2020-01-25",1,"2020-01-25"
100,"140224200711130792","2020-01-25",1,"2020-01-25"
101,"654323194704180390","2020-01-25",1,"2020-01-25"
102,"620822197305081657","2020-01-25",1,"2020-01-25"
103,"441781199602074243","2020-01-25",1,"2020-01-25"
104,"13112619320906368X","2020-01-25",1,"2020-01-25"
105,"513301197012081563","2020-01-25",1,"2020-01-25"
106,"370782196401260406","2020-01-25",1,"2020-01-25"
107,"350125193604223771","2020-01-25",1,"2020-01-25"
108,"230723201203270972","2020-01-25",1,"2020-01-25"
109,"22010320170709313X","2020-01-25",1,"2020-01-25"
110,"450332200108314130","2020-01-25",1,"2020-01-25"
111,"510322197809111589","2020-01-25",1,"2020-01-25"
112,"140221195607061042","2020-01-25",1,"2020-01-25"
113,"330109195306041158","2020-01-25",1,"2020-01-25"
114,"370203193511210606","2020-01-25",1,"2020-01-25"
115,"420902200411243936","2020-01-25",1,"2020-01-25"
116,"510821197810224020","2020-01-25",1,"2020-01-25"
117,"542521194609251825","2020-01-25",1,"2020-01-25"
118,"360423197906194025","2020-01-25",1,"2020-01-25"
119,"350525196203021752","2020-01-25",1,"2020-01-25"
120,"440106194106240357","2020-01-25",1,"2020-01-25"
121,"110113196305312356","2020-01-25",1,"2020-01-25"
122,"211004193203031413","2020-01-25",1,"2020-01-25"
123,"210902201511110589","2020-01-25",1,"2020-01-25"
124,"23082619930316213X","2020-01-25",1,"2020-01-25"
125,"420115198606084566","2020-01-25",1,"2020-01-25"
126,"230826195606144635","2020-01-25",1,"2020-01-25"
127,"44142419740224249X","2020-01-25",1,"2020-01-25"
128,"211122193612314199","2020-01-25",1,"2020-01-25"
129,"350602193005033856","2020-01-25",1,"2020-01-25"
130,"23071719840615171X","2020-01-25",1,"2020-01-25"
131,"410823199609162508","2020-01-25",1,"2020-01-25"
132,"450125200307012085","2020-01-25",1,"2020-01-25"
133,"420205201609162678","2020-01-25",1,"2020-01-25"
134,"511083197007082787","2020-01-25",1,"2020-01-25"
135,"450311199604104725","2020-01-25",1,"2020-01-25"
136,"14022420081229493X","2020-01-25",1,"2020-01-25"
137,"511325197007233226","2020-01-25",1,"2020-01-25"
138,"500152201107211299","2020-01-25",1,"2020-01-25"
139,"341024198008151679","2020-01-25",1,"2020-01-25"
140,"530626200703311566","2020-01-25",1,"2020-01-25"
141,"640323196601231945","2020-01-25",1,"2020-01-25"
142,"350582196603273032","2020-01-25",1,"2020-01-25"
143,"422828196911250615","2020-01-25",1,"2020-01-25"
144,"321112194010254253","2020-01-25",1,"2020-01-25"
145,"522630198411103356","2020-01-25",1,"2020-01-25"
146,"350403200410130527","2020-01-25",1,"2020-01-25"
147,"34022219851130422X","2020-01-25",1,"2020-01-25"
148,"440511194212311932","2020-01-25",1,"2020-01-25"
149,"632622201111134011","2020-01-25",1,"2020-01-25"
150,"13090319810925333X","2020-01-25",1,"2020-01-25"
151,"320582199312123411","2020-01-25",1,"2020-01-25"
152,"350525195112024689","2020-01-25",1,"2020-01-25"
153,"420506193305111957","2020-01-25",1,"2020-01-25"
154,"210422200801021799","2020-01-25",1,"2020-01-25"
155,"653221200007162057","2020-01-25",1,"2020-01-25"
156,"230129198010113250","2020-01-25",1,"2020-01-25"
157,"371311197603263080","2020-01-25",1,"2020-01-25"
158,"360681200412011769","2020-01-25",1,"2020-01-25"
159,"46010720070609091X","2020-01-25",1,"2020-01-25"
160,"32068219370713296X","2020-01-25",1,"2020-01-25"
161,"530102200912070131","2020-01-25",1,"2020-01-25"
162,"45132319870410365X","2020-01-25",1,"2020-01-25"
163,"130925195007310211","2020-01-25",1,"2020-01-25"
164,"420103197501164682","2020-01-25",1,"2020-01-25"
165,"210882194301250157","2020-01-25",1,"2020-01-25"
166,"360824201001082712","2020-01-25",1,"2020-01-25"
167,"230822194906070682","2020-01-25",1,"2020-01-25"
168,"431023198311140564","2020-01-25",1,"2020-01-25"
169,"150784196810071106","2020-01-25",1,"2020-01-25"
170,"23052319480523094X","2020-01-25",1,"2020-01-25"
171,"440982196409300512","2020-01-25",1,"2020-01-25"
172,"511803195602221596","2020-01-25",1,"2020-01-25"
173,"120112201104052219","2020-01-25",1,"2020-01-25"
174,"530902201705180846","2020-01-25",1,"2020-01-25"
175,"130302193109082057","2020-01-25",1,"2020-01-25"
176,"341124200212121587","2020-01-25",1,"2020-01-25"
177,"422825198112143258","2020-01-25",1,"2020-01-25"
178,"341021200709074515","2020-01-25",1,"2020-01-25"
179,"371481200308034671","2020-01-25",1,"2020-01-25"
180,"370404198606202684","2020-01-25",1,"2020-01-25"
181,"460202199502074545","2020-01-25",1,"2020-01-25"
182,"510603198211051173","2020-01-25",1,"2020-01-25"
183,"450422197712061836","2020-01-25",1,"2020-01-25"
184,"130105196306161530","2020-01-25",1,"2020-01-25"
185,"520624198912214098","2020-01-25",1,"2020-01-25"
186,"53282319300907299X","2020-01-25",1,"2020-01-25"
187,"220581195505253492","2020-01-25",1,"2020-01-25"
188,"371482201204244966","2020-01-25",1,"2020-01-25"
189,"130522197409142909","2020-01-25",1,"2020-01-25"
190,"65050220050629119X","2020-01-25",1,"2020-01-25"
191,"230903199207260769","2020-01-25",1,"2020-01-25"
192,"210115198211122397","2020-01-25",1,"2020-01-25"
193,"420112196906020398","2020-01-25",1,"2020-01-25"
194,"220622198007152479","2020-01-25",1,"2020-01-25"
195,"330604197506123929","2020-01-25",1,"2020-01-25"
196,"331002198808070754","2020-01-25",1,"2020-01-25"
197,"511425200812071231","2020-01-25",1,"2020-01-25"
198,"410324199405182637","2020-01-25",1,"2020-01-25"
199,"130183193703181186","2020-01-25",1,"2020-01-25"
200,"469023193809303893","2020-01-25",1,"2020-01-25"
201,"340603193106092868","2020-01-25",1,"2020-01-25"
202,"441523199206173341","2020-01-25",1,"2020-01-25"
203,"320118193005203390","2020-01-25",1,"2020-01-25"
204,"340321199608041618","2020-01-25",1,"2020-01-25"
205,"130107193312130975","2020-01-25",1,"2020-01-25"
206,"120115197612053154","2020-01-25",1,"2020-01-25"
207,"421221201405222801","2020-01-25",1,"2020-01-25"
208,"430922197202124052","2020-01-25",1,"2020-01-25"
209,"130503199012040090","2020-01-25",1,"2020-01-25"
210,"640303194001084035","2020-01-25",1,"2020-01-25"
211,"430922200904073012","2020-01-25",1,"2020-01-25"
212,"330205195605141079","2020-01-25",1,"2020-01-25"
213,"341523198106283430","2020-01-25",1,"2020-01-25"
214,"65322719750219472X","2020-01-25",1,"2020-01-25"
215,"530621194910084220","2020-01-25",1,"2020-01-25"
216,"110101193412052028","2020-01-25",1,"2020-01-25"
217,"340803199508121316","2020-01-25",1,"2020-01-25"
218,"131003200211080801","2020-01-25",1,"2020-01-25"
219,"150627200709050489","2020-01-25",1,"2020-01-25"
220,"410181194411180316","2020-01-25",1,"2020-01-25"
221,"530722193708293472","2020-01-25",1,"2020-01-25"
222,"230184198009104917","2020-01-25",1,"2020-01-25"
223,"370305200711062610","2020-01-25",1,"2020-01-25"
224,"130107198611100314","2020-01-25",1,"2020-01-25"
225,"320505193505011897","2020-01-25",1,"2020-01-25"
226,"410204198007243865","2020-01-25",1,"2020-01-25"
227,"130109195209223817","2020-01-25",1,"2020-01-25"
228,"230183197802182741","2020-01-25",1,"2020-01-25"
229,"420703201105250599","2020-01-25",1,"2020-01-25"
230,"441881196111273354","2020-01-25",1,"2020-01-25"
231,"130406201601062312","2020-01-25",1,"2020-01-25"
232,"430111201611221415","2020-01-25",1,"2020-01-25"
233,"520201200711063709","2020-01-25",1,"2020-01-25"
234,"321203193108211715","2020-01-25",1,"2020-01-25"
235,"431321193412074499","2020-01-25",1,"2020-01-25"
236,"451002200507303339","2020-01-25",1,"2020-01-25"
237,"320114195103210782","2020-01-25",1,"2020-01-25"
238,"511123201003304037","2020-01-25",1,"2020-01-25"
239,"460205196910083331","2020-01-25",1,"2020-01-25"
240,"620321196008313572","2020-01-25",1,"2020-01-25"
241,"210726193608312091","2020-01-25",1,"2020-01-25"
242,"371426193812151992","2020-01-25",1,"2020-01-25"
243,"440282196304150273","2020-01-25",1,"2020-01-25"
244,"371321201001254285","2020-01-25",1,"2020-01-25"
245,"350181198709120158","2020-01-25",1,"2020-01-25"
246,"54032919671212408X","2020-01-25",1,"2020-01-25"
247,"150784197607273831","2020-01-25",1,"2020-01-25"
248,"350902198703183471","2020-01-25",1,"2020-01-25"
249,"210112199109022897","2020-01-25",1,"2020-01-25"
250,"445224197307240296","2020-01-25",1,"2020-01-25"
251,"150422201603282275","2020-01-25",1,"2020-01-25"
252,"210503200111294358","2020-01-25",1,"2020-01-25"
253,"230505201509261194","2020-01-25",1,"2020-01-25"
254,"540230195801210698","2020-01-25",1,"2020-01-25"
255,"632322200505263384","2020-01-25",1,"2020-01-25"
256,"360202199505071610","2020-01-25",1,"2020-01-25"
257,"430525201709090070","2020-01-25",1,"2020-01-25"
258,"430802195201291166","2020-01-25",1,"2020-01-25"
259,"632322195406294552","2020-01-25",1,"2020-01-25"
260,"450303194705174826","2020-01-25",1,"2020-01-25"
261,"45040619411231295X","2020-01-25",1,"2020-01-25"
262,"45112219960103197X","2020-01-25",1,"2020-01-25"
263,"360827199001311764","2020-01-25",1,"2020-01-25"
264,"440904199709074013","2020-01-25",1,"2020-01-25"
265,"421081198308190044","2020-01-25",1,"2020-01-25"
266,"653130198202020928","2020-01-25",1,"2020-01-25"
267,"330502193512301158","2020-01-25",1,"2020-01-25"
268,"411422193703242497","2020-01-25",1,"2020-01-25"
269,"341504196903103350","2020-01-25",1,"2020-01-25"
270,"360902200412263713","2020-01-25",1,"2020-01-25"
271,"150521194209054545","2020-01-25",1,"2020-01-25"
272,"431224198101111471","2020-01-25",1,"2020-01-25"
273,"422825198302190338","2020-01-25",1,"2020-01-25"
274,"431126200011303143","2020-01-25",1,"2020-01-25"
275,"513427195504120135","2020-01-25",1,"2020-01-25"
276,"411203194102114232","2020-01-25",1,"2020-01-25"
277,"530402195805034314","2020-01-25",1,"2020-01-25"
278,"532525196312174577","2020-01-25",1,"2020-01-25"
279,"540502198503082792","2020-01-25",1,"2020-01-25"
280,"341203196509241939","2020-01-25",1,"2020-01-25"
281,"411426198912172825","2020-01-25",1,"2020-01-25"
282,"620923194502062146","2020-01-25",1,"2020-01-25"
283,"530113196508191871","2020-01-25",1,"2020-01-25"
284,"36098319830706389X","2020-01-25",1,"2020-01-25"
285,"32070320070513450X","2020-01-25",1,"2020-01-25"
286,"41010619510614265X","2020-01-25",1,"2020-01-25"
287,"150929198206210363","2020-01-25",1,"2020-01-25"
288,"411528195306160925","2020-01-25",1,"2020-01-25"
289,"140214199102213877","2020-01-25",1,"2020-01-25"
290,"130628194506303276","2020-01-25",1,"2020-01-25"
291,"340111194604153739","2020-01-25",1,"2020-01-25"
292,"230307198702052842","2020-01-25",1,"2020-01-25"
293,"140322193407023060","2020-01-25",1,"2020-01-25"
294,"350922200101231312","2020-01-25",1,"2020-01-25"
295,"321302197505234950","2020-01-25",1,"2020-01-25"
296,"15092819880517410X","2020-01-25",1,"2020-01-25"
297,"331126200209090709","2020-01-25",1,"2020-01-25"
298,"652924193606112856","2020-01-25",1,"2020-01-25"
299,"431127195911062448","2020-01-25",1,"2020-01-25"
300,"41142219350914157X","2020-01-25",1,"2020-01-25"
301,"513337195909113512","2020-01-25",1,"2020-01-25"
302,"620121196308220617","2020-01-25",1,"2020-01-25"
303,"370323195901201190","2020-01-25",1,"2020-01-25"
304,"632324195304084311","2020-01-25",1,"2020-01-25"
305,"370811194204051112","2020-01-25",1,"2020-01-25"
306,"410421197902230609","2020-01-25",1,"2020-01-25"
307,"520523198403313010","2020-01-25",1,"2020-01-25"
308,"230302197510191091","2020-01-25",1,"2020-01-25"
309,"150428195409160928","2020-01-25",1,"2020-01-25"
310,"650522199812231646","2020-01-25",1,"2020-01-25"
311,"460105200204111044","2020-01-25",1,"2020-01-25"
312,"14072919590319450X","2020-01-25",1,"2020-01-25"
313,"152526196901101072","2020-01-25",1,"2020-01-25"
314,"653122198709170917","2020-01-25",1,"2020-01-25"
315,"513426199406280516","2020-01-25",1,"2020-01-25"
316,"141122197402124944","2020-01-25",1,"2020-01-25"
317,"632801195911071160","2020-01-25",1,"2020-01-25"
318,"610331199911100543","2020-01-25",1,"2020-01-25"
319,"510623200811280784","2020-01-25",1,"2020-01-25"
320,"350430200902104754","2020-01-25",1,"2020-01-25"
321,"640521193706233933","2020-01-25",1,"2020-01-25"
322,"15022120090702277X","2020-01-25",1,"2020-01-25"
323,"62292619920125149X","2020-01-25",1,"2020-01-25"
324,"211422198111272540","2020-01-25",1,"2020-01-25"
325,"340322198703283932","2020-01-25",1,"2020-01-25"
326,"620723193102284748","2020-01-25",1,"2020-01-25"
327,"533124194708094585","2020-01-25",1,"2020-01-25"
328,"650203198903120933","2020-01-25",1,"2020-01-25"
329,"431024193604151682","2020-01-25",1,"2020-01-25"
330,"611023197907203991","2020-01-25",1,"2020-01-25"
331,"511102199502220493","2020-01-25",1,"2020-01-25"
332,"430582197702274895","2020-01-25",1,"2020-01-25"
333,"530822201402220222","2020-01-25",1,"2020-01-25"
334,"610424193502183477","2020-01-25",1,"2020-01-25"
335,"220702195708062923","2020-01-25",1,"2020-01-25"
336,"230108195707080756","2020-01-25",1,"2020-01-25"
337,"520524199903013891","2020-01-25",1,"2020-01-25"
338,"450226194412260658","2020-01-25",1,"2020-01-25"
339,"14042919410112455X","2020-01-25",1,"2020-01-25"
340,"120119199211184051","2020-01-25",1,"2020-01-25"
341,"12010119781113352X","2020-01-25",1,"2020-01-25"
342,"421024199303262122","2020-01-25",1,"2020-01-25"
343,"411221196904050279","2020-01-25",1,"2020-01-25"
344,"61032819890704315X","2020-01-25",1,"2020-01-25"
345,"441502195403294433","2020-01-25",1,"2020-01-25"
346,"350322194608283292","2020-01-25",1,"2020-01-25"
347,"220503197404294682","2020-01-25",1,"2020-01-25"
348,"41058119790904435X","2020-01-25",1,"2020-01-25"
349,"36042919341031082X","2020-01-25",1,"2020-01-25"
350,"654321197708133912","2020-01-25",1,"2020-01-25"
351,"451123195601021729","2020-01-25",1,"2020-01-25"
352,"360981200808052926","2020-01-25",1,"2020-01-25"
353,"522722199011061919","2020-01-25",1,"2020-01-25"
354,"130523193707042541","2020-01-25",1,"2020-01-25"
355,"520112200808282290","2020-01-25",1,"2020-01-25"
356,"15082519420531265X","2020-01-25",1,"2020-01-25"
357,"450902193101271862","2020-01-25",1,"2020-01-25"
358,"220502194408313713","2020-01-25",1,"2020-01-25"
359,"654324193411143571","2020-01-25",1,"2020-01-25"
360,"511322196104161611","2020-01-25",1,"2020-01-25"
361,"41018119860318415X","2020-01-25",1,"2020-01-25"
362,"44142420080921089X","2020-01-25",1,"2020-01-25"
363,"130881201403241864","2020-01-25",1,"2020-01-25"
364,"320413195611293780","2020-01-25",1,"2020-01-25"
365,"140212199304033177","2020-01-25",1,"2020-01-25"
366,"653127199711131980","2020-01-25",1,"2020-01-25"
367,"430211200409084091","2020-01-25",1,"2020-01-25"
368,"450603200407122512","2020-01-25",1,"2020-01-25"
369,"440309195205270492","2020-01-25",1,"2020-01-25"
370,"513233193104254035","2020-01-25",1,"2020-01-25"
371,"520425195410211200","2020-01-25",1,"2020-01-25"
372,"450327193507064550","2020-01-25",1,"2020-01-25"
373,"320981199109224204","2020-01-25",1,"2020-01-25"
374,"14012320091214155X","2020-01-25",1,"2020-01-25"
375,"511702199802192247","2020-01-25",1,"2020-01-25"
376,"522327200703291833","2020-01-25",1,"2020-01-25"
377,"130110199009150549","2020-01-25",1,"2020-01-25"
378,"231224198802210993","2020-01-25",1,"2020-01-25"
379,"421024199310134153","2020-01-25",1,"2020-01-25"
380,"131023194401192967","2020-01-25",1,"2020-01-25"
381,"520324196509053997","2020-01-25",1,"2020-01-25"
382,"340103193112080081","2020-01-25",1,"2020-01-25"
383,"371325197009092096","2020-01-25",1,"2020-01-25"
384,"510185196904192540","2020-01-25",1,"2020-01-25"
385,"210113195905094611","2020-01-25",1,"2020-01-25"
386,"140224201311064217","2020-01-25",1,"2020-01-25"
387,"220721199906132563","2020-01-25",1,"2020-01-25"
388,"42282719590731411X","2020-01-25",1,"2020-01-25"
389,"460107197207122820","2020-01-25",1,"2020-01-25"
390,"659005196502190851","2020-01-25",1,"2020-01-25"
391,"450327196507292856","2020-01-25",1,"2020-01-25"
392,"210103197904302040","2020-01-25",1,"2020-01-25"
393,"360521197209211953","2020-01-25",1,"2020-01-25"
394,"370103193902141497","2020-01-25",1,"2020-01-25"
395,"360702196607054583","2020-01-25",1,"2020-01-25"
396,"140110201008113537","2020-01-25",1,"2020-01-25"
397,"360982198712100854","2020-01-25",1,"2020-01-25"
398,"220322198612103492","2020-01-25",1,"2020-01-25"
399,"450802195605122039","2020-01-25",1,"2020-01-25"
400,"511824196604124315","2020-01-25",1,"2020-01-25"
401,"370116195402090567","2020-01-25",1,"2020-01-25"
402,"222405201605304881","2020-01-25",1,"2020-01-25"
403,"421123195009174974","2020-01-25",1,"2020-01-25"
404,"350981198902060875","2020-01-25",1,"2020-01-25"
405,"370983200504080906","2020-01-25",1,"2020-01-25"
406,"430902193606193464","2020-01-25",1,"2020-01-25"
407,"350922197902262130","2020-01-25",1,"2020-01-25"
408,"540124200110093550","2020-01-25",1,"2020-01-25"
409,"450303199711110733","2020-01-25",1,"2020-01-25"
410,"330683195212110432","2020-01-25",1,"2020-01-25"
411,"230719196605100994","2020-01-25",1,"2020-01-25"
412,"370112199002033400","2020-01-25",1,"2020-01-25"
413,"420107199809142943","2020-01-25",1,"2020-01-25"
414,"653223198502080342","2020-01-25",1,"2020-01-25"
415,"540322200709201384","2020-01-25",1,"2020-01-25"
416,"410611200901273036","2020-01-25",1,"2020-01-25"
417,"44128420070821263X","2020-01-25",1,"2020-01-25"
418,"320904200011194038","2020-01-25",1,"2020-01-25"
419,"110114194806141062","2020-01-25",1,"2020-01-25"
420,"232721193906170638","2020-01-25",1,"2020-01-25"
421,"110106196203221812","2020-01-25",1,"2020-01-25"
422,"13070319420713268X","2020-01-25",1,"2020-01-25"
423,"510504195801011689","2020-01-25",1,"2020-01-25"
424,"620422198408200092","2020-01-25",1,"2020-01-25"
425,"220882196510080714","2020-01-25",1,"2020-01-25"
426,"330326194009071919","2020-01-25",1,"2020-01-25"
427,"210211199409022927","2020-01-25",1,"2020-01-25"
428,"141128194607101492","2020-01-25",1,"2020-01-25"
429,"350723195302151521","2020-01-25",1,"2020-01-25"
430,"540233193901234275","2020-01-25",1,"2020-01-25"
431,"530127201402251989","2020-01-25",1,"2020-01-25"
432,"430382198206202378","2020-01-25",1,"2020-01-25"
433,"540227200802272247","2020-01-25",1,"2020-01-25"
434,"13093020090914312X","2020-01-25",1,"2020-01-25"
435,"630121197104182897","2020-01-25",1,"2020-01-25"
436,"411524194605091093","2020-01-25",1,"2020-01-25"
437,"510184195106270734","2020-01-25",1,"2020-01-25"
438,"640121200512022151","2020-01-25",1,"2020-01-25"
439,"411422193802142977","2020-01-25",1,"2020-01-25"
440,"520303196411292891","2020-01-25",1,"2020-01-25"
441,"23120219901228410X","2020-01-25",1,"2020-01-25"
442,"532323193103283876","2020-01-25",1,"2020-01-25"
443,"411121194811231527","2020-01-25",1,"2020-01-25"
444,"620825195802260672","2020-01-25",1,"2020-01-25"
445,"350103200605244739","2020-01-25",1,"2020-01-25"
446,"623025196904274956","2020-01-25",1,"2020-01-25"
447,"430523201701164132","2020-01-25",1,"2020-01-25"
448,"350105196009242730","2020-01-25",1,"2020-01-25"
449,"360502195910194196","2020-01-25",1,"2020-01-25"
450,"141027200301262652","2020-01-25",1,"2020-01-25"
451,"632224197407290197","2020-01-25",1,"2020-01-25"
452,"433125194509140916","2020-01-25",1,"2020-01-25"
453,"14010520110808498X","2020-01-25",1,"2020-01-25"
454,"150602198708311029","2020-01-25",1,"2020-01-25"
455,"430281194512054895","2020-01-25",1,"2020-01-25"
456,"341882193601024878","2020-01-25",1,"2020-01-25"
457,"450224197105030482","2020-01-25",1,"2020-01-25"
458,"35012119591011143X","2020-01-25",1,"2020-01-25"
459,"540325196104144444","2020-01-25",1,"2020-01-25"
460,"371721195509181842","2020-01-25",1,"2020-01-25"
461,"441284197909103312","2020-01-25",1,"2020-01-25"
462,"420113198007043022","2020-01-25",1,"2020-01-25"
463,"370304201201021411","2020-01-25",1,"2020-01-25"
464,"13050220130407478X","2020-01-25",1,"2020-01-25"
465,"632725198908294477","2020-01-25",1,"2020-01-25"
466,"430921201708271060","2020-01-25",1,"2020-01-25"
467,"130630193807242240","2020-01-25",1,"2020-01-25"
468,"540521199703124911","2020-01-25",1,"2020-01-25"
469,"350602197103203351","2020-01-25",1,"2020-01-25"
470,"210881195604254065","2020-01-25",1,"2020-01-25"
471,"440704201007234851","2020-01-25",1,"2020-01-25"
472,"11011720100108033X","2020-01-25",1,"2020-01-25"
473,"441323193011282793","2020-01-25",1,"2020-01-25"
474,"632724193403100252","2020-01-25",1,"2020-01-25"
475,"510923200705222851","2020-01-25",1,"2020-01-25"
476,"511922194503201055","2020-01-25",1,"2020-01-25"
477,"370684195911223616","2020-01-25",1,"2020-01-25"
478,"231224196204091016","2020-01-25",1,"2020-01-25"
479,"610122198712062730","2020-01-25",1,"2020-01-25"
480,"620103199405110111","2020-01-25",1,"2020-01-25"
481,"610622193608274746","2020-01-25",1,"2020-01-25"
482,"510502199412123113","2020-01-25",1,"2020-01-25"
483,"513230198803310335","2020-01-25",1,"2020-01-25"
484,"441602196504273447","2020-01-25",1,"2020-01-25"
485,"231225197702184451","2020-01-25",1,"2020-01-25"
486,"510132200706061888","2020-01-25",1,"2020-01-25"
487,"540424193605192378","2020-01-25",1,"2020-01-25"
488,"371323199912161015","2020-01-25",1,"2020-01-25"
489,"36082519400409339X","2020-01-25",1,"2020-01-25"
490,"371302199206030737","2020-01-25",1,"2020-01-25"
491,"131002200007104136","2020-01-25",1,"2020-01-25"
492,"140521195002200130","2020-01-25",1,"2020-01-25"
493,"511722196107174161","2020-01-25",1,"2020-01-25"
494,"430623197702194815","2020-01-25",1,"2020-01-25"
495,"320602201409213871","2020-01-25",1,"2020-01-25"
496,"533102195105073263","2020-01-25",1,"2020-01-25"
